,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
1677,ENSG00000087884,6.036174277,0.068406993,0.125308666,0.28235679,0.495805965,unchanged
1678,ENSG00000087903,89.06997883,-0.230719547,0.159404696,0.017494856,0.089444494,unchanged
1679,ENSG00000087995,29.53562222,-0.241998877,0.140590313,0.010355715,0.064217496,unchanged
1680,ENSG00000088002,0.294195019,-0.000835067,0.128643639,0.955342356,NA,unchanged
1681,ENSG00000088035,251.3792544,0.150719422,0.067609838,0.009259911,0.060200298,unchanged
1682,ENSG00000088038,129.0978157,-0.314453138,0.11438721,0.000641682,0.011005604,downregulated
1683,ENSG00000088053,60.52588971,-0.04899414,0.112810956,0.434124577,0.638274725,unchanged
1684,ENSG00000088179,2947.489831,0.108794337,0.083977037,0.097687095,0.25892131,unchanged
1685,ENSG00000088205,1133.306865,-0.00757254,0.06540161,0.890675071,0.947392672,unchanged
1686,ENSG00000088247,62.10263828,-0.279447016,0.206753197,0.011757904,0.069488106,unchanged
1687,ENSG00000088256,6.558745982,-0.569206678,0.370403917,0.003013046,0.028700905,downregulated
1688,ENSG00000088280,4.440450816,0.050127558,0.126472932,0.341902633,0.552835787,unchanged
1689,ENSG00000088298,204.8020419,-0.000305446,0.081984086,0.991503548,0.995603642,unchanged
1690,ENSG00000088305,4.313249488,0.009504868,0.118137949,0.843732795,NA,unchanged
1691,ENSG00000088320,0.038126109,-9.85E-05,0.128696284,0.95631813,NA,unchanged
1692,ENSG00000088325,24.80744683,-0.022986613,0.120489014,0.609621598,0.773185425,unchanged
1693,ENSG00000088356,109.2125444,-0.054866706,0.071999774,0.352810611,0.563035142,unchanged
1694,ENSG00000088367,0.471468289,-0.013696799,0.12920622,0.545447882,NA,unchanged
1695,ENSG00000088386,0.006561076,-0.000478521,0.128699484,0.97599,NA,unchanged
1696,ENSG00000088387,396.9881325,0.091996509,0.098391565,0.182718874,0.378707986,unchanged
1697,ENSG00000088448,571.089422,0.099621033,0.074909042,0.10419896,0.269170924,unchanged
1698,ENSG00000088451,130.3754151,0.09346509,0.078428015,0.139131173,0.322998081,unchanged
1699,ENSG00000088538,23.83309476,0.18355779,0.162904816,0.039155016,0.148072289,unchanged
1700,ENSG00000088543,29.38914621,-0.071151255,0.105028289,0.297359947,0.510766819,unchanged
1701,ENSG00000088682,84.87833894,-0.034384898,0.075417769,0.573356636,0.746761005,unchanged
1702,ENSG00000088726,63.30275356,0.019591883,0.107317069,0.741878033,0.862144077,unchanged
1703,ENSG00000088727,11.95054495,-0.02637521,0.101655109,0.676778965,0.818676599,unchanged
1704,ENSG00000088756,0.075249583,-0.000184013,0.128687837,0.937439293,NA,unchanged
1705,ENSG00000088766,193.2424102,0.177056167,0.085625173,0.010675851,0.065514399,unchanged
1706,ENSG00000088808,34.04172422,-0.179985965,0.148907446,0.038322238,0.146375538,unchanged
1707,ENSG00000088812,462.4982962,-0.02350254,0.061772763,0.663184134,0.810016263,unchanged
1708,ENSG00000088826,110.3812851,-0.028139002,0.117319108,0.57360656,0.746799041,unchanged
1709,ENSG00000088827,51.58873256,-0.067292522,0.143028724,0.130673115,0.309724151,unchanged
1710,ENSG00000088832,2421.091131,0.063648577,0.066038335,0.262140342,0.473437126,unchanged
1711,ENSG00000088833,399.0109418,0.063478603,0.060744763,0.235228346,0.442303429,unchanged
1712,ENSG00000088836,0.856744077,-0.041501775,0.136065542,0.109831233,NA,unchanged
1713,ENSG00000088854,119.885384,-0.096967606,0.092107581,0.153001558,0.342352985,unchanged
1714,ENSG00000088876,101.615554,0.080617616,0.068816384,0.16480838,0.3569258,unchanged
1715,ENSG00000088881,3.901701316,-0.061746356,0.139386707,0.17181265,NA,unchanged
1716,ENSG00000088882,0.956259967,-0.013729506,0.127643048,0.769057633,NA,unchanged
